,power_d,speed_d
0,0.0,0.0
1,4968.55345912,3.26612903226
2,13953.279425,3.81048387097
3,35516.621743,5.32258064516
4,75049.4159928,6.71370967742
5,111886.792453,7.80241935484
6,149622.641509,8.77016129032
7,175678.34681,9.67741935484
8,196343.216532,10.1008064516
9,225992.812219,10.6451612903
10,243063.791554,11.0685483871
11,257439.3531,11.5524193548
12,273611.859838,12.3991935484
13,282596.585804,13.185483871
14,290682.839173,14.3951612903
15,296972.14735,15.7862903226
16,299667.565139,18.3266129032
17,300566.037736,21.5322580645
18,300566.037736,23.9516129032
19,300566.037736,25.4032258065
20,298769.092543,25.8266129032
