,inputs,outputs
0,0.0,0.0
1,0.88965483871,2651.39805301
2,1.97996552419,4151.90628901
3,2.72456794355,7453.02440821
4,3.01709032258,11054.2441746
5,3.41598447581,19156.988649
6,3.86806451613,26059.3265346
7,4.26695866935,31461.1561842
8,4.95837520161,39563.9006586
9,5.64979173387,48867.0517218
10,6.50076592742,58170.202785
11,7.16558951613,66873.1505538
12,8.12293548387,74675.793381
13,8.89413084677,80977.9279721
14,9.74510504032,87880.2658577
15,10.409928629,89980.9773881
16,11.1811239919,92381.7905657
17,12.1650629032,94182.4004489
18,12.5639570565,94182.4004489
